subject,bw,thr,itd
0,100.0,59.5,inf
0,100.0,64.16666667,0.0
0,100.0,63.83333333,0.008
0,25.0,59.5,inf
0,25.0,57.5,0.0
0,25.0,58.83333333,0.008
0,50.0,61.33333333,0.0
0,50.0,61.83333333,inf
0,50.0,61.16666667,0.008
0,150.0,67.33333333,0.0
0,150.0,63.16666667,inf
0,150.0,62.83333333,0.008
0,1000.0,60.33333333,0.008
0,1000.0,62.83333333,0.0
0,1000.0,61.0,inf
0,200.0,64.16666667,0.008
0,200.0,64.33333333,0.0
0,200.0,64.0,inf
0,150.0,63.5,0.008
0,150.0,63.5,inf
0,150.0,65.5,0.0
0,200.0,61.16666667,inf
0,200.0,61.66666667,0.0
0,200.0,61.66666667,0.008
0,25.0,61.0,0.0
0,25.0,59.5,0.008
0,25.0,59.66666667,inf
0,50.0,60.66666667,0.008
0,50.0,59.5,0.0
0,50.0,60.83333333,inf
0,100.0,63.5,0.0
0,100.0,61.83333333,0.008
0,100.0,62.33333333,inf
0,1000.0,60.16666667,inf
0,1000.0,64.66666667,0.0
0,1000.0,62.33333333,0.008
0,25.0,58.16666667,0.008
0,25.0,59.0,0.0
0,25.0,54.16666667,inf
0,150.0,59.5,0.008
0,150.0,62.16666667,inf
0,150.0,64.5,0.0
0,200.0,63.5,0.0
0,200.0,60.33333333,inf
0,200.0,56.83333333,0.008
0,1000.0,58.5,inf
0,1000.0,61.33333333,0.008
0,1000.0,59.83333333,0.0
0,100.0,60.5,0.0
0,100.0,60.66666667,inf
0,100.0,62.33333333,0.008
0,50.0,57.83333333,0.008
0,50.0,61.0,0.0
0,50.0,56.66666667,inf
0,1000.0,60.83333333,0.0
0,1000.0,61.66666667,0.008
0,1000.0,59.0,inf
0,200.0,60.66666667,inf
0,200.0,60.83333333,0.0
0,200.0,62.16666667,0.008
0,100.0,59.5,inf
0,100.0,60.5,0.008
0,100.0,60.33333333,0.0
0,50.0,58.0,0.0
0,50.0,59.16666667,0.008
0,50.0,58.0,inf
0,150.0,62.5,0.0
0,150.0,62.16666667,inf
0,150.0,63.5,0.008
0,25.0,57.0,inf
0,25.0,56.33333333,0.008
0,25.0,59.33333333,0.0
1,1000.0,61.33333333,0.0
1,1000.0,61.16666667,inf
1,1000.0,61.16666667,0.008
1,100.0,61.0,inf
1,100.0,63.83333333,0.0
1,100.0,62.16666667,0.008
1,200.0,60.83333333,0.008
1,200.0,59.83333333,inf
1,200.0,61.0,0.0
1,25.0,59.33333333,0.0
1,25.0,57.0,inf
1,25.0,59.16666667,0.008
1,50.0,60.0,inf
1,50.0,58.83333333,0.0
1,50.0,58.83333333,0.008
1,150.0,62.83333333,0.0
1,150.0,60.33333333,inf
1,150.0,61.33333333,0.008
1,25.0,57.5,inf
1,25.0,56.0,0.0
1,25.0,57.83333333,0.008
1,1000.0,59.16666667,0.008
1,1000.0,61.66666667,0.0
1,1000.0,58.83333333,inf
1,150.0,61.66666667,0.0
1,150.0,61.83333333,inf
1,150.0,61.0,0.008
1,50.0,59.16666667,inf
1,50.0,58.0,0.0
1,50.0,59.33333333,0.008
1,200.0,58.33333333,inf
1,200.0,61.33333333,0.008
1,200.0,61.66666667,0.0
1,100.0,59.66666667,0.0
1,100.0,60.16666667,inf
1,100.0,59.83333333,0.008
1,150.0,59.66666667,0.0
1,150.0,58.83333333,inf
1,150.0,60.66666667,0.008
1,200.0,60.33333333,0.0
1,200.0,58.16666667,inf
1,200.0,59.0,0.008
1,100.0,61.5,0.008
1,100.0,57.16666667,0.0
1,100.0,61.33333333,inf
1,25.0,58.66666667,0.0
1,25.0,58.5,inf
1,25.0,58.0,0.008
1,50.0,59.5,0.008
1,50.0,59.16666667,0.0
1,50.0,58.66666667,inf
1,1000.0,61.5,0.008
1,1000.0,58.83333333,0.0
1,1000.0,61.16666667,inf
1,100.0,61.0,0.008
1,100.0,59.83333333,inf
1,100.0,61.33333333,0.0
1,150.0,60.83333333,0.008
1,150.0,60.33333333,0.0
1,150.0,58.16666667,inf
1,25.0,59.5,0.008
1,25.0,56.66666667,0.0
1,25.0,58.5,inf
1,50.0,55.66666667,0.0
1,50.0,58.5,0.008
1,50.0,57.83333333,inf
1,200.0,60.16666667,0.0
1,200.0,58.0,inf
1,200.0,58.83333333,0.008
1,1000.0,59.66666667,0.008
1,1000.0,60.16666667,0.0
1,1000.0,60.5,inf
2,200.0,62.83333333,inf
2,200.0,64.5,0.0
2,200.0,68.0,0.008
2,100.0,61.66666667,0.008
2,100.0,59.33333333,0.0
2,100.0,60.83333333,inf
2,50.0,60.5,inf
2,50.0,59.66666667,0.0
2,50.0,63.16666667,0.008
2,150.0,61.33333333,inf
2,150.0,64.16666667,0.008
2,150.0,62.66666667,0.0
2,1000.0,59.16666667,0.008
2,1000.0,57.83333333,inf
2,1000.0,60.66666667,0.0
2,25.0,57.66666667,inf
