subject,bw,thr,itd
0,100.0,50.83333333,0.0
0,100.0,50.5,0.002
0,100.0,58.66666667,0.008
0,100.0,48.0,0.0
0,100.0,63.0,inf
0,100.0,52.33333333,0.002
0,100.0,58.16666667,0.004
0,25.0,47.33333333,0.0
0,25.0,49.0,0.002
0,25.0,50.5,0.004
0,25.0,54.66666667,0.008
0,25.0,50.33333333,0.002
0,25.0,47.0,0.0
0,25.0,59.0,inf
0,50.0,50.5,0.0
0,50.0,53.66666667,0.002
0,50.0,48.83333333,0.0
0,50.0,59.0,inf
0,50.0,55.16666667,0.004
0,50.0,59.33333333,0.008
0,50.0,53.0,0.002
0,150.0,54.16666667,0.0
0,150.0,54.83333333,0.002
0,150.0,47.33333333,0.0
0,150.0,53.5,0.002
0,150.0,59.83333333,0.004
0,150.0,61.0,inf
0,150.0,62.33333333,0.008
0,1000.0,48.5,0.0
0,1000.0,50.83333333,0.002
0,1000.0,49.0,0.0
0,1000.0,61.16666667,0.008
0,1000.0,56.33333333,0.004
0,1000.0,51.66666667,0.002
0,1000.0,60.0,inf
0,200.0,49.16666667,0.0
0,200.0,52.16666667,0.002
0,200.0,49.5,0.0
0,200.0,52.16666667,0.002
0,200.0,63.16666667,0.008
0,200.0,60.83333333,inf
0,200.0,57.5,0.004
0,150.0,46.66666667,0.0
0,150.0,51.5,0.002
0,150.0,56.83333333,0.004
0,150.0,51.66666667,0.002
0,150.0,59.83333333,0.008
0,150.0,47.66666667,0.0
0,150.0,62.0,inf
0,200.0,49.33333333,0.0
0,200.0,51.33333333,0.002
0,200.0,56.66666667,0.004
0,200.0,62.5,0.008
0,200.0,51.16666667,0.002
0,200.0,60.16666667,inf
0,200.0,47.0,0.0
0,25.0,46.5,0.0
0,25.0,47.16666667,0.002
0,25.0,46.5,0.002
0,25.0,50.66666667,0.008
0,25.0,49.33333333,0.004
0,25.0,43.5,0.0
0,25.0,56.5,inf
0,50.0,46.5,0.0
0,50.0,47.33333333,0.002
0,50.0,51.0,0.0
0,50.0,54.83333333,0.004
0,50.0,55.0,inf
0,50.0,49.16666667,0.002
0,50.0,53.5,0.008
0,100.0,47.16666667,0.0
0,100.0,47.66666667,0.002
0,100.0,60.0,0.008
0,100.0,50.5,0.002
0,100.0,53.0,0.004
0,100.0,49.66666667,0.0
0,100.0,60.33333333,inf
0,1000.0,48.83333333,0.0
0,1000.0,52.5,0.002
0,1000.0,58.66666667,0.008
0,1000.0,53.0,0.002
0,1000.0,54.83333333,0.004
0,1000.0,50.33333333,0.0
0,1000.0,58.66666667,inf
0,25.0,43.83333333,0.0
0,25.0,45.33333333,0.002
0,25.0,41.5,0.0
0,25.0,40.0,0.002
0,25.0,47.5,0.008
0,25.0,47.5,0.004
0,25.0,56.33333333,inf
0,150.0,48.5,0.0
0,150.0,51.0,0.002
0,150.0,48.66666667,0.002
0,150.0,59.16666667,0.008
0,150.0,45.83333333,0.0
0,150.0,54.5,0.004
0,150.0,62.16666667,inf
0,200.0,47.66666667,0.0
0,200.0,49.83333333,0.002
0,200.0,46.33333333,0.0
0,200.0,61.33333333,inf
0,200.0,55.83333333,0.004
0,200.0,60.16666667,0.008
0,200.0,50.16666667,0.002
0,1000.0,46.33333333,0.0
0,1000.0,52.66666667,0.002
0,1000.0,57.33333333,inf
0,1000.0,59.0,0.008
0,1000.0,49.0,0.002
0,1000.0,55.16666667,0.004
0,1000.0,45.66666667,0.0
0,100.0,47.5,0.0
0,100.0,50.33333333,0.002
0,100.0,64.33333333,inf
0,100.0,48.0,0.002
0,100.0,45.16666667,0.0
0,100.0,58.83333333,0.008
0,100.0,53.83333333,0.004
0,50.0,43.16666667,0.0
0,50.0,47.5,0.002
0,50.0,54.33333333,0.008
0,50.0,44.33333333,0.0
0,50.0,58.5,inf
0,50.0,50.16666667,0.002
0,50.0,50.16666667,0.004
0,1000.0,47.5,0.0
0,1000.0,51.33333333,0.002
0,1000.0,58.16666667,inf
0,1000.0,56.16666667,0.004
0,1000.0,48.5,0.0
0,1000.0,59.83333333,0.008
0,1000.0,51.5,0.002
0,200.0,48.0,0.0
0,200.0,49.0,0.002
0,200.0,60.16666667,inf
0,200.0,52.83333333,0.004
0,200.0,49.16666667,0.002
0,200.0,47.16666667,0.0
0,200.0,59.5,0.008
0,100.0,47.66666667,0.0
0,100.0,50.16666667,0.002
0,100.0,57.83333333,0.008
0,100.0,59.5,inf
0,100.0,44.16666667,0.0
0,100.0,47.0,0.002
0,100.0,51.16666667,0.004
0,50.0,41.33333333,0.0
0,50.0,45.33333333,0.002
0,50.0,55.83333333,inf
0,50.0,54.83333333,0.008
0,50.0,45.66666667,0.0
0,50.0,49.0,0.002
0,50.0,53.33333333,0.004
0,150.0,47.0,0.0
0,150.0,60.16666667,0.002
0,150.0,62.33333333,inf
0,150.0,59.83333333,0.008
0,150.0,55.66666667,0.004
0,150.0,46.0,0.0
0,150.0,47.0,0.002
0,25.0,42.83333333,0.0
0,25.0,47.16666667,0.002
0,25.0,53.0,0.008
0,25.0,57.83333333,inf
0,25.0,41.33333333,0.002
0,25.0,48.33333333,0.0
0,25.0,53.33333333,0.004
1,1000.0,48.16666667,0.0
1,1000.0,51.66666667,0.002
1,1000.0,46.0,0.0
1,1000.0,59.83333333,inf
1,1000.0,50.83333333,0.002
1,1000.0,55.83333333,0.004
1,1000.0,60.16666667,0.008
1,100.0,43.5,0.0
1,100.0,51.33333333,0.002
1,100.0,60.5,inf
1,100.0,48.66666667,0.002
1,100.0,54.66666667,0.004
1,100.0,46.5,0.0
1,100.0,57.5,0.008
1,200.0,47.16666667,0.0
1,200.0,50.66666667,0.002
1,200.0,59.83333333,inf
1,200.0,54.66666667,0.004
1,200.0,57.33333333,0.008
1,200.0,46.5,0.0
1,200.0,47.83333333,0.002
1,25.0,41.66666667,0.0
1,25.0,44.5,0.002
1,25.0,45.33333333,0.002
1,25.0,49.83333333,0.008
1,25.0,46.5,0.004
1,25.0,58.16666667,inf
1,25.0,42.66666667,0.0
1,50.0,44.5,0.0
1,50.0,47.33333333,0.002
